"Date","Price","Open","High","Low","Change %"
"Nov 99","0.9910","0.9479","0.9964","0.9432","4.58%"
"Oct 99","0.9476","0.9363","0.9585","0.9161","1.24%"
"Sep 99","0.9360","0.9462","0.9723","0.9315","-1.12%"
"Aug 99","0.9466","0.9355","0.9617","0.9234","1.36%"
"Jul 99","0.9339","0.9649","0.9894","0.9302","-3.27%"
"Jun 99","0.9655","0.9587","0.9751","0.9467","0.63%"
"May 99","0.9595","0.9442","0.9619","0.9220","1.42%"
"Apr 99","0.9461","0.9280","0.9491","0.9183","1.90%"
"Mar 99","0.9285","0.9102","0.9365","0.9030","2.37%"
"Feb 99","0.9070","0.8782","0.9158","0.8776","3.08%"
"Jan 99","0.8799","0.8518","0.8824","0.8399","3.20%"
"Dec 98","0.8526","0.8521","0.8526","0.8521","-1.26%"
"Nov 98","0.8635","0.8647","0.8635","0.8647","2.30%"
"Oct 98","0.8441","0.8466","0.8441","0.8466","-0.83%"
"Sep 98","0.8512","0.8543","0.8512","0.8543","-5.03%"
"Aug 98","0.8963","0.9074","0.8963","0.9074","-0.99%"
"Jul 98","0.9053","0.9088","0.9053","0.9088","-1.33%"
"Jun 98","0.9175","0.9216","0.9175","0.9216","0.95%"
"May 98","0.9089","0.9106","0.9089","0.9106","-0.38%"
"Apr 98","0.9124","0.9169","0.9124","0.9169","-2.59%"
"Mar 98","0.9367","0.9444","0.9367","0.9444","1.45%"
"Feb 98","0.9233","0.9273","0.9233","0.9273","-0.83%"
"Jan 98","0.9310","0.9339","0.9310","0.9339","1.92%"
"Dec 97","0.9135","0.9167","0.9135","0.9167","2.08%"
"Nov 97","0.8949","0.8990","0.8949","0.8990","2.08%"
"Oct 97","0.8767","0.8781","0.8767","0.8781","-2.57%"
"Sep 97","0.8998","0.9004","0.8998","0.9004","-2.10%"
"Aug 97","0.9191","0.9185","0.9191","0.9185","-1.63%"
"Jul 97","0.9343","0.9364","0.9343","0.9364","5.19%"
"Jun 97","0.8882","0.8885","0.8882","0.8885","1.57%"
"May 97","0.8745","0.8722","0.8745","0.8722","-1.39%"
"Apr 97","0.8868","0.8847","0.8868","0.8847","3.36%"
"Mar 97","0.8580","0.8581","0.8580","0.8581","-1.17%"
"Feb 97","0.8682","0.8641","0.8682","0.8641","3.12%"
"Jan 97","0.8419","0.8357","0.8419","0.8357","6.29%"
"Dec 96","0.7921","0.7864","0.7921","0.7864","0.03%"
"Nov 96","0.7919","0.7861","0.7919","0.7861","1.12%"
"Oct 96","0.7831","0.7748","0.7831","0.7748","-0.94%"
"Sep 96","0.7905","0.7810","0.7905","0.7810","2.16%"
"Aug 96","0.7738","0.7617","0.7738","0.7617","0.27%"
"Jul 96","0.7717","0.7599","0.7717","0.7599","-2.65%"
"Jun 96","0.7927","0.7807","0.7927","0.7807","-0.36%"
"May 96","0.7956","0.7840","0.7956","0.7840","-0.79%"
"Apr 96","0.8019","0.7884","0.8019","0.7884","2.72%"
"Mar 96","0.7807","0.7650","0.7807","0.7650","0.15%"
"Feb 96","0.7795","0.7620","0.7795","0.7620","-1.54%"
"Jan 96","0.7917","0.7726","0.7917","0.7726","6.03%"
"Dec 95","0.7467","0.7467","0.7467","0.7467","-1.11%"
"Nov 95","0.7551","0.7551","0.7551","0.7551","2.00%"
"Oct 95","0.7403","0.7403","0.7403","0.7403","-1.07%"
"Sep 95","0.7483","0.7483","0.7483","0.7483","-2.48%"
"Aug 95","0.7673","0.7673","0.7673","0.7673","5.62%"
"Jul 95","0.7265","0.7265","0.7265","0.7265","-1.16%"
"Jun 95","0.7350","0.7350","0.7350","0.7350","-1.70%"
"May 95","0.7477","0.7477","0.7477","0.7477","1.10%"
"Apr 95","0.7396","0.7396","0.7396","0.7396","0.69%"
"Mar 95","0.7345","0.7345","0.7345","0.7345","-5.05%"
"Feb 95","0.7736","0.7736","0.7736","0.7736","-1.96%"
"Jan 95","0.7891","0.7891","0.7891","0.7891","-1.69%"
"Dec 94","0.8027","0.8027","0.8027","0.8027","-0.90%"
"Nov 94","0.8100","0.8100","0.8100","0.8100","4.33%"
"Oct 94","0.7764","0.7764","0.7764","0.7764","-2.47%"
"Sep 94","0.7961","0.7961","0.7961","0.7961","-1.75%"
"Aug 94","0.8103","0.8103","0.8103","0.8103","-0.65%"
"Jul 94","0.8156","0.8156","0.8156","0.8156","-0.18%"
"Jun 94","0.8171","0.8171","0.8171","0.8171","-2.69%"
"May 94","0.8397","0.8397","0.8397","0.8397","-0.58%"
"Apr 94","0.8446","0.8446","0.8446","0.8446","-0.87%"
"Mar 94","0.8520","0.8520","0.8520","0.8520","-2.38%"
"Feb 94","0.8728","0.8728","0.8728","0.8728","-1.72%"
"Jan 94","0.8881","0.8881","0.8881","0.8881","-0.15%"
"Dec 93","0.8894","0.8894","0.8894","0.8894","0.54%"
"Nov 93","0.8846","0.8846","0.8846","0.8846","2.35%"
"Oct 93","0.8643","0.8643","0.8643","0.8643","2.78%"
"Sep 93","0.8409","0.8409","0.8409","0.8409","-2.44%"
"Aug 93","0.8619","0.8619","0.8619","0.8619","-2.96%"
"Jul 93","0.8882","0.8882","0.8882","0.8882","4.18%"
"Jun 93","0.8526","0.8526","0.8526","0.8526","6.51%"
"May 93","0.8005","0.8005","0.8005","0.8005","0.34%"
"Apr 93","0.7978","0.7978","0.7978","0.7978","-2.33%"
"Mar 93","0.8168","0.8168","0.8168","0.8168","-1.71%"
"Feb 93","0.8310","0.8310","0.8310","0.8310","3.08%"
"Jan 93","0.8062","0.8062","0.8062","0.8062","-0.28%"
"Dec 92","0.8085","0.8085","0.8085","0.8085","2.06%"
"Nov 92","0.7922","0.7922","0.7922","0.7922","3.88%"
"Oct 92","0.7626","0.7626","0.7626","0.7626","8.93%"
"Sep 92","0.7001","0.7001","0.7001","0.7001","3.24%"
"Aug 92","0.6781","0.6781","0.6781","0.6781","-4.25%"
"Jul 92","0.7082","0.7082","0.7082","0.7082","-3.01%"
"Jun 92","0.7302","0.7302","0.7302","0.7302","-4.86%"
"May 92","0.7675","0.7675","0.7675","0.7675","-3.18%"
"Apr 92","0.7927","0.7927","0.7927","0.7927","0.25%"
"Mar 92","0.7907","0.7907","0.7907","0.7907","0.67%"
"Feb 92","0.7854","0.7854","0.7854","0.7854","1.89%"
"Jan 92","0.7708","0.7708","0.7708","0.7708","5.26%"
"Dec 91","0.7323","0.7323","0.7323","0.7323","-6.51%"
"Nov 91","0.7833","0.7833","0.7833","0.7833","-2.39%"
"Oct 91","0.8025","0.8025","0.8025","0.8025","0.66%"
"Sep 91","0.7972","0.7972","0.7972","0.7972","-4.77%"
"Aug 91","0.8371","0.8371","0.8371","0.8371","0.20%"
"Jul 91","0.8354","0.8354","0.8354","0.8354","-3.52%"
"Jun 91","0.8659","0.8659","0.8659","0.8659","4.65%"
"May 91","0.8274","0.8274","0.8274","0.8274","0.88%"
"Apr 91","0.8202","0.8202","0.8202","0.8202","0.50%"
"Mar 91","0.8161","0.8161","0.8161","0.8161","11.89%"
"Feb 91","0.7294","0.7294","0.7294","0.7294","2.62%"
"Jan 91","0.7108","0.7108","0.7108","0.7108","-1.14%"
"Dec 90","0.7190","0.7190","0.7190","0.7190","-0.13%"
